Temperature (C), Meat-5.0-Log, Meat-6.5-Log, Meat-7.0-Log
54.              4,5160 sec,   6720 sec,     7260 sec
55.0,4140 sec,5340 sec,5820 sec
55.6,3300 sec,4260 sec,4620 sec
56.1,2640 sec,3360 sec,3720 sec
56.7,2100 sec,2700 sec,2820 sec
57.2,1680 sec,2160 sec,2220 sec
57.8,1320 sec,1680 sec,1920 sec
58.4,1080 sec,1380 sec,1440 sec
58.9,840 sec,1080 sec,1140 sec
59.5,660 sec,900 sec,900 sec
60.0,540 sec,720 sec,720 sec
60.6,420 sec,540 sec,600 sec
61.1,360 sec,480 sec,480 sec
61.7,300 sec,360 sec,360 sec
62.2,240 sec,300 sec,300 sec
62.8,180 sec,240 sec,240 sec
63.3,130 sec,169 sec,182 sec
63.9,103 sec,134 sec,144 sec
64.4,82 sec,107 sec,115 sec
65.0,65 sec,85 sec,91 sec
65.6,52 sec,67 sec,72 sec
66.1,41 sec,54 sec,58 sec
66.7,33 sec,43 sec,46 sec
67.2,26 sec,34 sec,37 sec
67.8,21 sec,27 sec,29 sec
68.3,17 sec,22 sec,23 sec
68.9,14 sec,17 sec,19 sec
69.4,11 sec,14 sec,15 sec
70.0,0 sec,0 sec,0 sec
70.6,0 sec,0 sec,0 sec
71.1,0 sec,0 sec,0 sec
